0 1663.29 -29.9981 -0 -0 -0 0.001, 0.048, 0.999, 206.614, -51.385, 0.000,0.871, 0.492, 0.001, 206.595, -0.491, 0.870, 0.048, -52.237, 0.023, -0.042, 0.999, -17.757, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 10 41 -205.906 -342.372 -1773.5 -170.796 -178.843 -1666.56 -327.585 -163.733 -1637.35 
-40 1663.29 0.00141907 -39.9995 -0 -0 -0.000, 0.000, 1.000, 0.532, -39.926, 0.000,1.000, -0.000, -0.000, 0.532, 0.000, 1.000, 0.000, -39.926, 0.000, -0.000, 1.000, 0.793, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 10 51 -193.804 -154.139 -1698.55 -172.647 43.5715 -1685.87 -330.66 59.6101 -1664.35 
-36 1663.29 0.00141907 -36 -0 -0 -0.000, 0.000, 1.000, 0.472, -35.929, 0.000,1.000, -0.000, -0.000, 0.472, 0.000, 1.000, 0.000, -35.929, 0.000, -0.000, 1.000, 0.726, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 10 57 -193.251 -154.393 -1694.61 -172.044 43.3138 -1681.92 -330.057 59.3903 -1660.42 
-32 1663.29 0.00210571 -31.999 -0 -0 -0.000, 0.000, 1.000, 0.427, -31.928, 0.000,1.000, 0.000, -0.000, 0.427, -0.000, 1.000, 0.000, -31.928, 0.000, -0.000, 1.000, 0.668, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 3 -192.692 -154.662 -1690.67 -171.466 43.044 -1677.95 -329.476 59.1392 -1656.48 
-28 1663.29 0.00210571 -27.9995 -0 -0 -0.000, 0.000, 1.000, 0.402, -27.927, 0.000,1.000, -0.000, -0.000, 0.401, 0.000, 1.000, 0.000, -27.927, 0.000, -0.000, 1.000, 0.603, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 9 -192.117 -154.954 -1686.72 -170.896 42.7558 -1674.01 -328.903 58.8519 -1652.54 
-24 1663.29 0.00210571 -24.0005 -0 -0 -0.000, -0.000, 1.000, 0.359, -23.919, 0.000,1.000, -0.000, -0.000, 0.359, 0.000, 1.000, -0.000, -23.919, 0.000, 0.000, 1.000, 0.530, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 15 -191.542 -155.228 -1682.75 -170.304 42.4807 -1670.06 -328.323 58.5881 -1648.64 
-20 1663.29 0.00141907 -20.0005 -0 -0 -0.001, 0.000, 1.000, 0.315, -19.950, 0.000,1.000, 0.000, -0.001, 0.315, -0.000, 1.000, 0.000, -19.950, 0.001, -0.000, 1.000, 0.440, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 21 -190.957 -155.497 -1678.85 -169.7 42.2077 -1666.13 -327.711 58.3272 -1644.66 
-16 1663.29 0.00210571 -16.0005 -0 -0 -0.001, -0.000, 1.000, 0.269, -15.938, 0.000,1.000, 0.000, -0.001, 0.268, -0.000, 1.000, -0.000, -15.938, 0.001, 0.000, 1.000, 0.345, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 27 -190.354 -155.768 -1674.89 -169.09 41.9328 -1662.17 -327.112 58.0521 -1640.74 
-12 1663.29 0.00141907 -11.999 -0 -0 -0.001, 0.000, 1.000, 0.220, -11.939, 0.000,1.000, -0.000, -0.001, 0.220, 0.000, 1.000, 0.000, -11.939, 0.001, -0.000, 1.000, 0.242, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 33 -189.734 -156.04 -1670.9 -168.485 41.6639 -1658.27 -326.503 57.7761 -1636.8 
-8 1663.29 0.000732422 -8.00098 -0 -0 -0.001, -0.000, 1.000, 0.165, -7.903, 0.000,1.000, -0.000, -0.001, 0.164, 0.000, 1.000, -0.000, -7.904, 0.001, 0.000, 1.000, 0.139, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 39 -189.121 -156.302 -1666.95 -167.863 41.3927 -1654.27 -325.878 57.5115 -1632.83 
-4 1663.29 0.00210571 -4.00049 -0 -0 -0.001, -0.000, 1.000, 0.121, -3.893, 0.000,1.000, -0.000, -0.001, 0.121, 0.000, 1.000, -0.000, -3.893, 0.001, 0.000, 1.000, 0.059, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 45 -188.545 -156.574 -1662.99 -167.258 41.1173 -1650.3 -325.277 57.2555 -1628.88 
0 1663.29 0.00210571 0.000488281 -0 -0 -0.001, -0.000, 1.000, 0.074, 0.096, 0.000,1.000, -0.000, -0.001, 0.074, 0.000, 1.000, -0.000, 0.096, 0.001, 0.000, 1.000, -0.011, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 51 -187.967 -156.844 -1659.06 -166.679 40.8501 -1646.36 -324.691 56.9874 -1624.92 
4 1663.29 0.00141907 4.00049 -0 -0 -0.001, -0.000, 1.000, 0.036, 4.099, 0.000,1.000, 0.000, -0.001, 0.036, -0.000, 1.000, -0.000, 4.099, 0.001, 0.000, 1.000, -0.092, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 11 57 -187.38 -157.121 -1655.11 -166.087 40.5702 -1642.4 -324.097 56.7067 -1620.96 
8 1663.29 0.00141907 8.00195 -0 -0 -0.001, -0.000, 1.000, 0.006, 8.094, 0.000,1.000, 0.000, -0.001, 0.006, -0.000, 1.000, -0.000, 8.094, 0.001, 0.000, 1.000, -0.170, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 12 3 -186.8 -157.407 -1651.18 -165.496 40.283 -1638.45 -323.505 56.4261 -1617.02 
12 1663.29 0.00141907 12.0005 -0 0.000223007 -0.001, 0.000, 1.000, -0.030, 12.096, 0.000,1.000, 0.000, -0.001, -0.030, -0.000, 1.000, 0.000, 12.096, 0.001, -0.000, 1.000, -0.255, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 12 9 -186.208 -157.688 -1647.24 -164.901 40.0003 -1634.5 -322.899 56.1512 -1613.03 
16 1663.29 0.00141907 15.9995 -0 -0 -0.001, 0.000, 1.000, -0.067, 16.101, 0.000,1.000, 0.000, -0.001, -0.067, -0.000, 1.000, 0.000, 16.100, 0.001, -0.000, 1.000, -0.328, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 12 15 -185.625 -157.97 -1643.27 -164.318 39.7247 -1630.56 -322.312 55.8748 -1609.08 
20 1663.29 0.00141907 20.0005 -0 -0 -0.001, 0.000, 1.000, -0.109, 20.089, 0.000,1.000, -0.000, -0.001, -0.108, 0.000, 1.000, 0.000, 20.089, 0.001, -0.000, 1.000, -0.424, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 12 21 -185.028 -158.243 -1639.32 -163.708 39.4449 -1626.64 -321.701 55.5963 -1605.12 
24 1663.29 0.00141907 23.9995 -0 0.000223007 -0.001, 0.000, 1.000, -0.160, 24.098, 0.000,1.000, 0.000, -0.001, -0.159, -0.000, 1.000, 0.000, 24.098, 0.001, -0.000, 1.000, -0.527, 0.000, 0.000, 0.000, 1.000,  122 6 11 17 12 27 -184.424 -158.513 -1635.38 -163.085 39.1772 -1622.67 -321.085 55.3511 -1601.18 
