0 0 0.00141907 -0 -59.9836 -0 -0.868, -0.019, 0.495, -36.889, -0.622, 0.000,0.495, -0.023, -0.868, -19.074, 0.013, 1.000, -0.019, -0.229, 0.869, -0.002, 0.495, -10.161, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 44 27 -255.756 -80.6229 -1643.48 -74.8884 0.714393 -1662.85 -138.417 146.894 -1646.43 
-40 0 0.00210571 0.000488281 -0 -39.9997 -0.005, 0.626, 0.780, 0.205, 7.141, 0.000,1.000, 0.002, -0.005, 0.364, 0.001, 0.780, 0.626, -12.970, 0.005, -0.626, 0.780, -25.062, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 44 39 -165.375 -158.573 -1675.16 -143.223 39.1683 -1662.83 -253.516 44.8291 -1547.02 
-36 0 0.00141907 0.000488281 -0 -35.9999 -0.005, 0.574, 0.819, 0.187, 5.171, 0.000,1.000, 0.002, -0.005, 0.324, 0.001, 0.819, 0.574, -11.005, 0.005, -0.574, 0.819, -23.082, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 44 45 -167.05 -158.47 -1672.96 -144.948 39.2245 -1660.62 -262.47 46.1448 -1552.17 
-32 0 0.00141907 -0.000488281 -0 -31.9999 -0.005, 0.518, 0.856, 0.159, 3.577, 0.000,1.000, 0.002, -0.005, 0.276, 0.001, 0.856, 0.518, -9.081, 0.005, -0.518, 0.856, -20.914, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 44 51 -168.924 -158.347 -1670.78 -146.852 39.3208 -1658.41 -271.316 47.4982 -1558.04 
-28 0 0.000732422 -0.000488281 -0 -27.9996 -0.005, 0.460, 0.888, 0.132, 2.309, 0.000,1.000, 0.001, -0.005, 0.231, 0.001, 0.888, 0.460, -7.338, 0.005, -0.460, 0.888, -18.642, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 44 57 -170.919 -158.209 -1668.74 -148.888 39.4424 -1656.38 -279.687 48.8228 -1564.52 
-24 0 0.000732422 0.000976562 -0 -23.9998 -0.004, 0.399, 0.917, 0.111, 1.290, 0.000,1.000, 0.001, -0.004, 0.190, 0.001, 0.917, 0.399, -5.778, 0.005, -0.399, 0.917, -16.231, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 3 -173.085 -158.05 -1666.92 -151.076 39.5913 -1654.47 -287.686 50.1407 -1571.52 
-20 0 0.00210571 -0 -0 -19.9999 -0.004, 0.336, 0.942, 0.097, 0.519, 0.000,1.000, 0.001, -0.004, 0.158, 0.000, 0.942, 0.336, -4.361, 0.004, -0.336, 0.942, -13.696, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 9 -175.383 -157.88 -1665.22 -153.412 39.7575 -1652.68 -295.283 51.4432 -1579.28 
-16 0 0.00141907 0.000488281 -0 -15.9998 -0.004, 0.271, 0.963, 0.073, 0.011, 0.000,1.000, 0.000, -0.004, 0.120, 0.001, 0.963, 0.271, -3.108, 0.004, -0.271, 0.963, -11.077, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 15 -177.779 -157.683 -1663.6 -155.857 39.9491 -1651.12 -302.323 52.713 -1587.5 
-12 0 0.00141907 0.000488281 -0 -11.9998 -0.004, 0.205, 0.979, 0.057, -0.297, 0.000,1.000, 0.000, -0.004, 0.090, 0.001, 0.979, 0.205, -2.053, 0.004, -0.205, 0.979, -8.389, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 21 -180.272 -157.474 -1662.21 -158.396 40.1567 -1649.7 -308.774 53.9446 -1596.2 
-8 0 0.00141907 0.000488281 -0 -7.99963 -0.003, 0.137, 0.991, 0.040, -0.387, 0.000,1.000, 0.000, -0.003, 0.059, 0.000, 0.991, 0.137, -1.165, 0.003, -0.137, 0.991, -5.604, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 27 -182.874 -157.25 -1660.99 -161.055 40.3966 -1648.41 -314.678 55.139 -1605.36 
-4 0 0.00210571 -0 -0 -3.99987 -0.003, 0.069, 0.998, 0.019, -0.275, 0.000,1.000, -0.000, -0.003, 0.027, 0.000, 0.998, 0.069, -0.466, 0.003, -0.069, 0.998, -2.760, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 33 -185.557 -156.999 -1659.93 -163.799 40.6528 -1647.33 -319.951 56.2905 -1614.94 
0 0 0.00210571 -0 -0 -0 -0.003, -0.000, 1.000, -0.007, 0.117, 0.000,1.000, -0.000, -0.003, -0.008, 0.000, 1.000, -0.000, 0.117, 0.003, 0.000, 1.000, 0.121, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 40 -188.281 -156.739 -1658.97 -166.603 40.9298 -1646.36 -324.569 57.3799 -1624.89 
4 0 0.00210571 -0.000488281 -0 3.99983 -0.002, -0.068, 0.998, -0.024, 0.659, 0.000,1.000, -0.001, -0.002, -0.031, 0.001, 0.998, -0.068, 0.451, 0.002, 0.068, 0.998, 3.030, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 46 -191.068 -156.467 -1658.23 -169.464 41.2155 -1645.66 -328.48 58.4085 -1635.06 
8 0 0.00141907 0.00146484 -0 7.99988 -0.002, -0.137, 0.991, -0.041, 1.432, 0.000,1.000, -0.001, -0.002, -0.053, 0.001, 0.991, -0.137, 0.608, 0.002, 0.137, 0.991, 5.957, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 52 -193.903 -156.181 -1657.68 -172.358 41.5165 -1645.12 -331.697 59.3721 -1645.56 
12 0 0.000732422 -0.000488281 -0 11.9999 -0.002, -0.205, 0.979, -0.060, 2.400, 0.000,1.000, -0.001, -0.002, -0.075, 0.001, 0.979, -0.205, 0.538, 0.002, 0.205, 0.979, 8.900, 0.000, 0.000, 0.000, 1.000,  122 6 11 19 45 58 -196.783 -155.879 -1657.34 -175.297 41.8393 -1644.8 -334.204 60.263 -1656.26 
