0 0 0.000732422 0.000488281 -59.9871 -0 -0.868, -0.018, 0.496, -37.043, -0.686, 0.000,0.496, -0.022, -0.868, -19.189, 0.012, 1.000, -0.018, -0.308, 0.868, -0.001, 0.496, -10.213, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 50 31 -255.78 -80.5391 -1643.39 -74.8899 0.781435 -1662.84 -138.374 146.964 -1646.34 
-40 0 0.00210571 -0 -0 -39.9997 -0.003, 0.625, 0.780, 0.125, 7.146, 0.000,1.000, 0.002, -0.003, 0.238, 0.001, 0.780, 0.625, -13.051, 0.004, -0.625, 0.780, -25.203, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 50 43 -165.329 -158.537 -1675.08 -143.199 39.2304 -1662.83 -253.461 44.9223 -1546.99 
-36 0 0.00210571 -0 -0 -35.9999 -0.003, 0.573, 0.819, 0.113, 5.142, 0.000,1.000, 0.001, -0.003, 0.208, 0.001, 0.819, 0.573, -11.104, 0.004, -0.573, 0.819, -23.217, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 50 49 -167.023 -158.445 -1672.91 -144.92 39.289 -1660.62 -262.411 46.2424 -1552.15 
-32 0 0.000732422 -0.000488281 -0 -31.9999 -0.003, 0.517, 0.856, 0.087, 3.543, 0.000,1.000, 0.001, -0.003, 0.169, 0.001, 0.856, 0.517, -9.164, 0.003, -0.517, 0.856, -21.042, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 50 55 -168.903 -158.325 -1670.7 -146.827 39.3789 -1658.4 -271.279 47.5922 -1558.05 
-28 0 0.00210571 -0.000488281 -0 -27.9998 -0.003, 0.459, 0.889, 0.062, 2.248, 0.000,1.000, 0.001, -0.003, 0.130, 0.001, 0.889, 0.459, -7.442, 0.003, -0.459, 0.889, -18.764, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 1 -170.911 -158.185 -1668.7 -148.864 39.5012 -1656.37 -279.642 48.9113 -1564.52 
-24 0 0.000732422 0.000488281 -0 -23.9998 -0.003, 0.398, 0.917, 0.037, 1.238, 0.000,1.000, 0.001, -0.003, 0.089, 0.000, 0.917, 0.398, -5.859, 0.003, -0.398, 0.917, -16.352, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 7 -173.073 -158.02 -1666.85 -151.046 39.6474 -1654.44 -287.647 50.2279 -1571.56 
-20 0 0.00141907 -0.000488281 -0 -19.9999 -0.003, 0.335, 0.942, 0.022, 0.490, 0.000,1.000, 0.001, -0.003, 0.063, 0.000, 0.942, 0.335, -4.415, 0.003, -0.335, 0.942, -13.807, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 13 -175.378 -157.854 -1665.09 -153.387 39.8122 -1652.65 -295.245 51.5345 -1579.25 
-16 0 0.00141907 -0.000488281 -0 -15.9998 -0.003, 0.270, 0.963, -0.001, -0.055, 0.000,1.000, 0.001, -0.003, 0.031, 0.000, 0.963, 0.270, -3.197, 0.003, -0.270, 0.963, -11.187, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 19 -177.781 -157.652 -1663.51 -155.833 40.0027 -1651.11 -302.268 52.7975 -1587.46 
-12 0 0.000732422 0.000488281 -0 -11.9998 -0.003, 0.204, 0.979, -0.014, -0.376, 0.000,1.000, 0.000, -0.003, 0.008, 0.000, 0.979, 0.204, -2.150, 0.003, -0.204, 0.979, -8.495, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 25 -180.283 -157.45 -1662.12 -158.369 40.2158 -1649.7 -308.727 54.0429 -1596.14 
-8 0 0.00279236 -0 -0 -7.99963 -0.002, 0.137, 0.991, -0.031, -0.474, 0.000,1.000, 0.000, -0.002, -0.018, -0.000, 0.991, 0.137, -1.262, 0.002, -0.137, 0.991, -5.705, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 31 -182.892 -157.22 -1660.89 -161.029 40.4496 -1648.42 -314.644 55.2368 -1605.33 
-4 0 0.00141907 -0 -0 -4.0001 -0.002, 0.069, 0.998, -0.053, -0.351, 0.000,1.000, 0.000, -0.002, -0.047, -0.000, 0.998, 0.069, -0.548, 0.002, -0.069, 0.998, -2.862, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 37 -185.568 -156.97 -1659.81 -163.77 40.7065 -1647.33 -319.907 56.383 -1614.86 
0 0 0.00210571 0.000488281 -0 -0 -0.002, -0.000, 1.000, -0.075, -0.006, 0.000,1.000, -0.000, -0.002, -0.075, 0.000, 1.000, -0.000, -0.006, 0.002, 0.000, 1.000, 0.023, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 43 -188.305 -156.705 -1658.87 -166.579 40.9813 -1646.41 -324.529 57.4638 -1624.81 
4 0 0.000732422 0.000488281 -0 3.99983 -0.001, -0.069, 0.998, -0.091, 0.560, 0.000,1.000, -0.000, -0.001, -0.095, -0.000, 0.998, -0.069, 0.357, 0.001, 0.069, 0.998, 2.946, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 49 -191.112 -156.434 -1658.14 -169.44 41.2691 -1645.64 -328.444 58.4949 -1634.99 
8 0 0.00210571 0.000488281 -0 7.99988 -0.001, -0.137, 0.991, -0.105, 1.301, 0.000,1.000, -0.000, -0.001, -0.111, 0.000, 0.991, -0.137, 0.485, 0.001, 0.137, 0.991, 5.880, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 51 56 -193.952 -156.149 -1657.59 -172.35 41.5718 -1645.14 -331.671 59.4565 -1645.49 
12 0 0.00210571 0.000488281 -0 11.9997 -0.001, -0.205, 0.979, -0.118, 2.264, 0.000,1.000, -0.000, -0.001, -0.124, 0.000, 0.979, -0.205, 0.414, 0.001, 0.205, 0.979, 8.820, 0.000, 0.000, 0.000, 1.000,  122 6 12 14 52 2 -196.83 -155.845 -1657.27 -175.286 41.8835 -1644.81 -334.181 60.3489 -1656.2 
